Name,Location,star_rating,Total_ratings,Rp_Price,guest_rating_normalized
Riverside Homestay Jogja,Yogyakarta,1,35.0,135000,3.4
Pamularsih Homestay,"Wirobrajan, Yogyakarta",1,193.0,270000,4.5
Ndalem Sarengat,"Kraton, Yogyakarta",1,69.0,280000,4.3
EC Pondokan,"Gondomanan, Yogyakarta (Malioboro)",1,127.0,250000,3.8
Andelis Homestay,Yogyakarta,1,25.0,250000,4.1
BeOne House Jogja,Yogyakarta,1,46.0,362319,4.2
Jaya Homestay,Yogyakarta,1,40.0,190000,4.0
Arjuna Garden Homestay,"Mantrijeron, Yogyakarta",1,121.0,527250,4.15
Panca Dewi Guest House,"Danurejan, Yogyakarta",1,60.0,300000,3.85
Hotel Batik Yogyakarta,"Gedongtengen, Yogyakarta (Malioboro)",1,43.0,488740,4.0
The Cabin Hotel Gandekan,"Gedongtengen, Yogyakarta (Malioboro)",1,15.0,237202,4.2
Arjuna 31,"Wirobrajan, Yogyakarta",1,1.0,132593,2.5
Hotel Bugis Asri,"Mantrijeron, Yogyakarta",1,26.0,311979,2.75
Hotel Pules,"Danurejan, Yogyakarta",1,1.0,414452,3.5
"""NOMORE"" Gallery and Guesthouse","Kraton, Yogyakarta",1,390.0,318000,4.55
Rumah Pathuk Syariah Homestay,"Ngampilan, Yogyakarta",1,57.0,250000,4.0
Prayogo Lama Family GH Prawirotaman,"Mergangsan, Yogyakarta (Prawirotaman)",1,84.0,160958,4.05
Janti Transit Room Syariah,"Catur Tunggal, Yogyakarta",1,11.0,90250,3.75
Hotel Mataram 2 Malioboro,"Gedongtengen, Yogyakarta",1,7.0,561000,3.8
Losmen 2000 Tiga,"Danurejan, Yogyakarta (Malioboro)",1,5.0,224983,2.4
Griya Jogja Hotel,"Jetis, Yogyakarta",1,43.0,338371,4.0
Omah Teras Bata Guesthouse,Yogyakarta,1,55.0,688200,4.55
Monica Hotel Yogyakarta,"Gedongtengen, Yogyakarta (Malioboro)",1,12.0,260173,2.85
Abadi Homestay,"Wirobrajan, Yogyakarta",1,13.0,499900,3.75
griya desa hotel & pool,Yogyakarta,1,5.0,230522,2.7
Omah Sastro,Yogyakarta,1,1.0,385000,4.0
KoolKost Syariah near Universitas Ahmad Dahlan Kampus 1,"Gondokusuman, Yogyakarta",1,4.0,184907,3.75
Koolkost near Stadion Maguwoharjo,Yogyakarta,1,43.0,125096,4.0
The Samirono,"Catur Tunggal, Yogyakarta",1,1.0,772535,4.0
Selaras Inn Syariah,"Gedongtengen, Yogyakarta (Malioboro)",1,5.0,610599,3.7
Hotel Graha Kinasih Kotabaru,"Gondokusuman, Yogyakarta",1,29.0,548041,4.15
Hotel Olympic Jogyakarta by Sajiwa,"Mergangsan, Yogyakarta",1,7.0,194681,2.8
RedDoorz Syariah @ D'KostMarto UTY,"Mlati, Yogyakarta",1,5.0,195624,3.3
Cabin Hotel Bhayangkara,"Ngampilan, Yogyakarta",1,23.0,341629,3.4
Hotel Wijaya 1 Kaliurang,Yogyakarta,1,43.0,209712,4.0
KoolKost Syariah near Malioboro Area,"Ngampilan, Yogyakarta",1,2.0,189305,3.0
Banana Homestay,Yogyakarta,1,3.0,230000,3.85
D Ajenk Boutique Guesthouse,Yogyakarta,1,43.0,3250000,4.0
Hotel Wijaya 2 Kaliurang,Yogyakarta,1,43.0,220500,4.0
Venezia Homestay and Garden,"Mantrijeron, Yogyakarta",2,121.0,250600,4.05
Griya Wijilan Syariah,"Kraton, Yogyakarta",2,870.0,350000,4.2
Ndalem Mantrigawen,"Kraton, Yogyakarta",2,243.0,120000,4.0
Grand Marto Hotel,"Mergangsan, Yogyakarta (Prawirotaman)",2,246.0,275000,3.7
Hotel O Homestay Alqid Syariah,"Kraton, Yogyakarta",2,6.0,75854,1.85
Mawar Asri Hotel,"Ngampilan, Yogyakarta",2,301.0,309690,3.9
Capital O 94274 Homestay Balimoelih,"Mantrijeron, Yogyakarta",2,13.0,188328,4.3
Aloha Hotel Yogyakarta,"Mergangsan, Yogyakarta (Prawirotaman)",2,1.0,270000,4.55
Ndalem Diajeng,"Kraton, Yogyakarta",2,271.0,170000,4.55
Yellow Star Gejayan Hotel,"Catur Tunggal, Yogyakarta",2,129.0,474078,4.05
Hotel Poncowinatan - Tugu,"Jetis, Yogyakarta",2,144.0,320000,3.65
Griya Langen Guesthouse,"Kraton, Yogyakarta",2,30.0,224000,3.6
Pendhapa Art Space - PAS Limasan Homestay,Yogyakarta,2,39.0,314888,4.15
AJ BOUTIQUE HOTEL,"Wirobrajan, Yogyakarta",2,22.0,495000,4.5
POP! Hotel Sangaji Yogyakarta,"Jetis, Yogyakarta",2,53.0,359387,3.85
POP! Hotel Timoho Yogyakarta,"Umbulharjo, Yogyakarta",2,35.0,340000,3.85
Jogja Classic Homestay Syariah,"Pakualaman, Yogyakarta",2,55.0,270000,4.25
OstiC House,"Mantrijeron, Yogyakarta",2,474.0,230736,4.35
Rumah Roso Homestay,"Kraton, Yogyakarta",2,82.0,320000,4.05
Hotel O Yogyakarta near Taman Sari formerly Widitya Inn,"Mantrijeron, Yogyakarta",2,43.0,153139,4.0
Whiz Hotel Malioboro Yogyakarta,"Gedongtengen, Yogyakarta (Malioboro)",2,108.0,640901,3.7
Prambanan Guesthouse,"Mergangsan, Yogyakarta (Prawirotaman)",2,299.0,375000,4.2
Cordela Kartika Dewi Yogyakarta,"Gondomanan, Yogyakarta (Malioboro)",2,57.0,562866,4.0
SPOT ON 94319 Daffsell Homestay Syariah,"Danurejan, Yogyakarta",2,10.0,91287,2.8
Arrayan Hotel Malioboro,"Ngampilan, Yogyakarta",2,79.0,700000,4.15
Losmen Fadel Malioboro Jogja,"Gedongtengen, Yogyakarta (Malioboro)",2,223.0,250000,3.4
Hotel O Yogyakarta near Jalan Malioboro formerly Malio Inn,"Gedongtengen, Yogyakarta (Malioboro)",2,1.0,409932,3.5
Collection O Jalan Malioboro Near Lempuyangan Station Formerly Hotel Vala,"Pakualaman, Yogyakarta",2,6.0,383437,2.1
Griya Aneka Malioboro Yogyakarta Mitra RedDoorz,"Ngampilan, Yogyakarta",2,43.0,189338,4.0
Oke Baik Hostel,"Mergangsan, Yogyakarta (Prawirotaman)",2,163.0,200000,4.1
Asram Edupark,"Mlati, Yogyakarta",2,3.0,377144,4.35
Daffa Inn Syariah near Jogja City Mall mitra RedDoorz,Yogyakarta,2,43.0,190283,4.0
The Kresna Hotel,"Mantrijeron, Yogyakarta",2,114.0,315000,4.15
OYO 1431 Travel-inn,"Sinduadi, Yogyakarta",2,3.0,211111,1.35
Hotel Citradream Tugu Yogyakarta,"Jetis, Yogyakarta",2,37.0,445894,3.55
Akur Hotel Malioboro Mitra RedDoorz,"Danurejan, Yogyakarta (Malioboro)",2,20.0,290149,2.8
RedDoorz near Tugu Yogyakarta,"Jetis, Yogyakarta",2,6.0,202954,2.7
Duta Garden Hotel,"Mergangsan, Yogyakarta",2,227.0,961875,4.35
Griya Suryo Wijilan,"Kraton, Yogyakarta",2,69.0,315000,3.9
OYO 93396 Pondok Wisata Sri MulyoNearSultan Agung Stadium Bantul,Yogyakarta,2,1.0,33972,4.5
Collection O Yogyakarta Near Tugu Jogja Formerly Vivo Aparment,"Catur Tunggal, Yogyakarta",2,10.0,155419,3.1
RedDoorz @ Mantrijeron 2,"Mantrijeron, Yogyakarta",2,43.0,238016,3.8
Regantris Malioboro,"Gedongtengen, Yogyakarta (Malioboro)",2,164.0,955650,3.85
SPOT ON Podomoro Homestay,Yogyakarta,2,2.0,48059,2.25
Hotel O Banguntapan Near Galaxy Waterpark Formerly Hotel Desa Puri,Yogyakarta,2,43.0,188268,4.0
RedDoorz At Golden Inn Tugu Yogyakarta,"Jetis, Yogyakarta",2,11.0,213840,3.15
Omah Gerjen 29,"Gondomanan, Yogyakarta",2,124.0,597729,4.25
nDalem Gamelan,"Kraton, Yogyakarta",2,61.0,561000,4.45
Hinggil Homestay Syariah Malioboro Yogya Mitra RedDoorz,"Jetis, Yogyakarta",2,40.0,245999,3.15
Hotel O Yogyakarta near Gembiraloka Zoo formerly Paddington Bear Homestay,"Kotagede, Yogyakarta",2,3.0,179271,2.65
RedDoorz Syariah near Plengkung Gading 2,"Mantrijeron, Yogyakarta",2,12.0,192456,3.4
Wood Stone,"Mantrijeron, Yogyakarta",2,99.0,262453,4.45
Villa Mak Cik,Yogyakarta,2,76.0,611009,4.45
Elma Guesthouse YIA KulonProgo Yogyakarta Mitra RedDoorz,Yogyakarta,2,46.0,160160,3.45
Monginsidi Guest House Syariah Malioboro Yogyakarta Mitra RedDoorz,"Jetis, Yogyakarta",2,45.0,251701,3.95
RedDoorz Syariah near Titik Nol Yogyakarta,"Ngampilan, Yogyakarta",2,17.0,256263,3.05
Sari Panguripan RedPartner Near UGM,Yogyakarta,2,1.0,364865,4.0
PYRENEES Malioboro Hotel,"Gedongtengen, Yogyakarta (Malioboro)",2,104.0,810000,3.95
RedDoorz At Hotel Sartika Yogyakarta,"Wirobrajan, Yogyakarta",2,8.0,169919,0.8
Safa Homestay,Yogyakarta,2,86.0,310500,4.4
Super OYO 13I9 88 Exclusive Guesthouse,Yogyakarta,2,9.0,228571,2.9
RedDoorz near Kampus 3 UTY Yogyakarta,"Umbulharjo, Yogyakarta",2,3.0,154768,3.0
"Ndalem Nuriyyat Villa, Spa & Skin Care",Yogyakarta,2,4.0,431999,3.4
RedDoorz @ Hotel Citra Indah,"Gedongtengen, Yogyakarta",2,15.0,193391,3.05
RedDoorz near Jogja City Mall 4,"Sinduadi, Yogyakarta",2,43.0,245510,4.0
Alam Jogja Resort Mitra RedDoorz,Yogyakarta,2,30.0,185070,2.55
OYO 409 Pondok Helomi,Yogyakarta,2,8.0,140082,4.6
RedDoorz At Artomoro Guest House,Yogyakarta,2,43.0,290149,4.0
The LaWang Yogya Guesthouse,"Danurejan, Yogyakarta",3,158.0,247500,4.2
KHAS Malioboro Hotel,"Gondomanan, Yogyakarta (Malioboro)",3,305.0,725127,3.9
Tjokro Style Yogyakarta,"Umbulharjo, Yogyakarta",3,73.0,528296,3.7
Omah Konco Yogyakarta,"Kraton, Yogyakarta",3,572.0,380000,4.2
ibis Yogyakarta Adi Sucipto,"Catur Tunggal, Yogyakarta",3,154.0,522500,3.9
MMUGM Hotel,"Catur Tunggal, Yogyakarta",3,60.0,420420,4.0
Naima Jiwo,"Mergangsan, Yogyakarta",3,64.0,397215,4.15
Omah Ambarukmo,"Catur Tunggal, Yogyakarta",3,8.0,247520,4.35
KHAS Tugu Hotel Yogyakarta,"Jetis, Yogyakarta",3,80.0,585185,3.9
Aveta Hotel Malioboro,"Danurejan, Yogyakarta (Malioboro)",3,1.0,1306806,4.1
Hotel O Jalan Malioboro Near Stasiun Tugu Yogyakarta Formerly Hotel Baru,"Jetis, Yogyakarta",3,5.0,242307,2.2
Hotel Indah Palace Yogyakarta,"Mergangsan, Yogyakarta (Prawirotaman)",3,164.0,464466,3.85
Adhisthana Hotel Yogyakarta,"Mergangsan, Yogyakarta (Prawirotaman)",3,1.0,676253,4.2
House Of Cokro at Malioboro,"Tegalrejo, Yogyakarta",3,31.0,324500,3.9
Kebon Krapyak Cottage by Secoms,Yogyakarta,3,1.0,320000,1.0
Argya Guesthouse,"Gondokusuman, Yogyakarta",3,104.0,200000,3.95
Atrium Premiere Hotel Yogyakarta Ambarukmo,"Catur Tunggal, Yogyakarta",3,38.0,419828,3.65
H Boutique Hotel Jogjakarta,"Gondokusuman, Yogyakarta",3,39.0,410542,3.85
Metro Malioboro Living,"Danurejan, Yogyakarta",3,653.0,294840,3.85
Paku Mas Hotel,"Catur Tunggal, Yogyakarta",3,35.0,370139,4.25
Malyabhara Hotel - formerly Ibis Malioboro,"Danurejan, Yogyakarta (Malioboro)",3,133.0,1167075,3.9
Super OYO Collection O 3468 Ndalem Gusti Ayu,Yogyakarta,3,97.0,254145,4.4
PORTA by Ambarrukmo,"Catur Tunggal, Yogyakarta",3,171.0,810657,4.35
Petik Merah Homestay,"Catur Tunggal, Yogyakarta",3,1.0,257077,4.0
Diva Residence,Yogyakarta,3,44.0,224000,4.35
The Victoria Hotel Yogyakarta,"Catur Tunggal, Yogyakarta",3,23.0,455832,4.3
Hotel FortunaGrande Seturan Yogyakarta,Yogyakarta,3,2.0,756244,3.25
RedDoorz Plus near Alun Alun Selatan 2,"Mantrijeron, Yogyakarta",3,36.0,226287,3.15
Marina Villa 1,Yogyakarta,3,3.0,667000,4.65
Tujuan Jogja Villas - Kresna,"Sinduadi, Yogyakarta",3,7.0,1632411,4.5
favehotel Malioboro - Yogyakarta,"Gondokusuman, Yogyakarta",3,158.0,731644,4.1
Super OYO Collection O 92363 Kp Inn,Yogyakarta,3,36.0,176109,3.7
Clemmie Huis,"Gondokusuman, Yogyakarta",3,47.0,384638,4.25
Rumah Jawa Guest House (Syariah),"Mergangsan, Yogyakarta",3,238.0,788000,4.65
Malioboro Prime Hotel,"Gedongtengen, Yogyakarta (Malioboro)",3,139.0,741256,3.6
Prima In Hotel Malioboro,"Gedongtengen, Yogyakarta",3,48.0,810983,3.85
Pandanaran Prawirotaman Yogyakarta,"Mergangsan, Yogyakarta (Prawirotaman)",3,21.0,487111,3.8
Ndalem Maharani Guest House,"Kraton, Yogyakarta",3,162.0,342000,3.85
Kotta GO Yogyakarta,"Jetis, Yogyakarta",3,51.0,572727,4.1
Hotel Permata Malioboro,"Gedongtengen, Yogyakarta (Malioboro)",3,11.0,522000,3.8
YATS Colony,"Wirobrajan, Yogyakarta",3,145.0,1134000,4.4
Maharani Guest House,"Mantrijeron, Yogyakarta",3,19.0,665000,4.35
Ndalem Suratin Guesthouse,"Jetis, Yogyakarta",3,26.0,382500,3.85
Hotel Neo Malioboro by ASTON,"Gedongtengen, Yogyakarta (Malioboro)",3,575.0,1312593,4.1
RedDoorz Plus near Jogja City Mall 5,"Sinduadi, Yogyakarta",3,20.0,207063,2.9
Yellow Star Ambarukmo Hotel,"Catur Tunggal, Yogyakarta",3,136.0,502751,4.0
ibis Yogyakarta International Airport Kulon Progo,Yogyakarta,3,138.0,498883,4.1
RedDoorz Plus @ Timoho,"Umbulharjo, Yogyakarta",3,9.0,192401,3.1
University Club (UC) Hotel UGM,"Catur Tunggal, Yogyakarta",3,29.0,512037,3.8
Kampoeng Djawa Hotel,"Mergangsan, Yogyakarta (Prawirotaman)",3,59.0,250000,3.9
Lidya Room at student castle apartemen,"Catur Tunggal, Yogyakarta",3,3.0,274909,4.5
Sans Hotel Beskalan Malioboro,"Gondomanan, Yogyakarta (Malioboro)",3,10.0,598920,2.9
Rumah Panjaitan,"Mantrijeron, Yogyakarta",3,197.0,175000,4.2
Hotel Limaran 1,"Gondomanan, Yogyakarta (Malioboro)",3,1.0,259756,0.5
Hotel O Prawirotaman Near Keraton Yogyakarta Formerly Chez Laelik Guesthouse,Yogyakarta,3,2.0,161573,1.25
Urbanview TWH Costel near Stadion Maguwoharjo Yogyakarta,Yogyakarta,3,43.0,293436,4.0
Arte Hotel Yogyakarta,"Gedongtengen, Yogyakarta (Malioboro)",3,84.0,700000,3.55
Airlangga Hotel,"Mergangsan, Yogyakarta (Prawirotaman)",3,96.0,296176,3.2
Prima SR Hotel & Convention Yogyakarta,Yogyakarta,3,5.0,416707,3.6
Carani Hotel Yogyakarta,"Gondokusuman, Yogyakarta",3,132.0,368182,3.55
Villa Padi Cangkringan,Yogyakarta,3,16.0,1800000,3.65
Hotel O Wisma Arya 2,Yogyakarta,3,7.0,158906,3.85
Arys Garden Hotel Yogyakarta,"Mantrijeron, Yogyakarta",3,110.0,209720,3.45
The yudhistira apartment,Yogyakarta,3,3.0,468000,4.5
LPP Convention Hotel Demangan,"Catur Tunggal, Yogyakarta",3,76.0,297317,3.8
With Friends Homestay Jogja,"Mantrijeron, Yogyakarta",3,9.0,500000,3.1
"The Cube Hotel Malioboro, Azana Hotels Collection","Mantrijeron, Yogyakarta",3,6.0,474404,3.5
Sans Hotel Nagari Malioboro,"Ngampilan, Yogyakarta",3,50.0,371800,3.6
CASAKITA exclusive guest house,Yogyakarta,3,6.0,341910,4.2
Sampai Villa Ruang Tepi,Yogyakarta,3,43.0,1350000,4.0
Novotel Suites Yogyakarta Malioboro,"Danurejan, Yogyakarta (Malioboro)",4,433.0,1614140,4.3
INNSiDE by Meliá Yogyakarta,Yogyakarta,4,338.0,845184,4.15
Gallery Prawirotaman Hotel,"Mergangsan, Yogyakarta (Prawirotaman)",4,1.0,819000,4.3
Grand Keisha Yogyakarta,Yogyakarta,4,120.0,633360,4.35
The Manohara Hotel Yogyakarta,"Catur Tunggal, Yogyakarta",4,301.0,833628,4.45
Merapi Merbabu Hotel Yogyakarta Powered by Archipelago,"Catur Tunggal, Yogyakarta",4,40.0,675439,4.1
Hotel Santika Premiere Jogja,"Jetis, Yogyakarta",4,132.0,850850,4.15
Platinum Adisucipto Hotel & Conference Center,Yogyakarta,4,438.0,582015,4.2
d'Salvatore Boutique Hotel Yogyakarta,Yogyakarta,4,24.0,550000,3.1
Omah Siliran Heritage,"Kraton, Yogyakarta",4,133.0,441984,4.35
Riss Hotel Malioboro,"Jetis, Yogyakarta",4,148.0,901725,4.15
KESATRIYAN JOGJA GUEST HOUSE,"Kraton, Yogyakarta",4,351.0,553000,4.2
Royal Malioboro by ASTON,"Gedongtengen, Yogyakarta (Malioboro)",4,902.0,1632310,4.45
The Atrium Hotel & Resort Yogyakarta,"Mlati, Yogyakarta",4,34.0,480000,4.25
Grand Tjokro Yogyakarta,"Catur Tunggal, Yogyakarta",4,66.0,679001,3.85
FX Stay & Coffee,"Kraton, Yogyakarta",4,82.0,640000,4.15
Greenhost Boutique Hotel Prawirotaman,"Mergangsan, Yogyakarta (Prawirotaman)",4,776.0,946400,4.4
Hotel New Saphir Yogyakarta,"Gondokusuman, Yogyakarta",4,33.0,528328,3.55
